State,Y1912,Y1916,Y1920,Y1924,Y1928,Y1932,Y1936,Y1940,Y1944,Y1948,Y1952,Y1956,Y1960,Y1964,Y1968,Y1972,Y1976
Alabama,8.26,21.97,30.98,27.01,48.49,14.15,12.82,14.34,18.2,19.04,35.02,39.39,41.75,69.5,14,72.4,43.48
Arizona,12.74,35.37,55.41,41.26,57.57,30.53,26.93,36.01,40.9,43.82,58.35,60.99,55.52,50.4,54.8,64.7,58.62
Arkansas,19.73,28.01,38.73,29.28,39.33,12.91,17.86,20.87,29.84,21.02,43.76,45.82,43.06,43.9,30.8,68.9,34.97
California,0.58,46.26,66.24,57.21,64.7,37.4,31.7,41.35,42.99,47.14,56.39,55.4,50.1,40.9,47.8,55,50.89
Colorado,21.88,34.75,59.32,57.02,64.72,41.43,37.09,50.92,53.21,46.52,60.27,59.49,54.63,38.7,50.5,62.6,55.89
Connecticut,35.88,49.8,62.72,61.54,53.63,48.54,40.35,46.3,46.94,49.55,55.7,63.73,46.27,32.2,44.3,58.6,52.64
Delaware,32.85,50.2,55.71,57.71,65.03,50.55,43.43,45.05,45.27,50.04,51.75,55.09,49,39.1,45.1,59.6,47.27
Florida,8.25,18.08,30.79,28.06,56.83,25.04,23.85,25.99,29.68,33.63,55.01,57.2,51.51,48.9,40.5,71.9,46.83
Georgia,4.27,7.07,28.57,18.19,43.37,7.77,12.6,14.84,18.25,18.31,30.34,33.22,37.44,54.1,30.4,75,33.02
Idaho,31.02,41.13,66.02,47.12,64.74,38.23,33.19,45.31,48.07,47.26,65.42,61.18,53.78,49.1,56.8,64.2,61.77
Illinois,22.13,52.56,67.81,58.84,56.93,42.04,39.69,48.54,48.05,49.24,54.84,59.52,49.8,40.5,47.1,59,51.11
Indiana,23.11,47.44,55.14,55.25,59.68,42.94,41.89,50.45,52.38,49.58,58.11,59.9,55.03,44,50.3,66.1,53.77
Iowa,24.3,54.06,70.91,55.06,61.8,39.98,42.7,52.03,51.99,47.58,63.76,59.06,56.71,38.1,53,57.6,50.51
Kansas,20.48,44.09,64.76,61.54,72.02,44.13,45.95,56.86,60.25,53.63,68.77,65.44,60.45,45.9,54.8,67.7,53.91
Kentucky,25.46,46.52,49.25,48.93,59.33,40.15,39.92,42.3,45.22,41.48,49.84,54.3,53.59,36,43.8,63.4,46.24
Louisiana,4.83,6.95,30.57,20.23,23.71,7.03,11.16,14.09,19.4,17.45,47.08,53.28,28.59,56.8,23.5,65.3,47
Maine,20.48,50.95,68.92,72.03,68.63,55.83,55.49,51.1,52.44,56.74,66.05,70.87,57.05,31.2,43.1,61.5,50.34
Maryland,23.69,44.78,55.11,45.29,57.06,36.04,37.04,40.83,48.15,49.4,55.36,60.04,46.39,34.5,41.9,61.3,46.87
Massachusetts,31.89,50.54,68.55,62.26,49.15,46.64,41.76,46.36,47,43.17,54.22,59.33,39.55,23.8,32.9,45.2,41.93
Michigan,27.63,52.09,72.8,75.37,70.36,44.45,38.76,49.85,49.18,49.23,55.44,55.63,48.84,33.3,41.5,56.2,52.68
Minnesota,19.25,46.35,70.78,51.18,57.77,36.29,31.01,47.66,46.86,39.89,55.33,53.68,49.16,36.2,41.5,51.6,44.3
Mississippi,2.47,4.91,14.03,7.6,17.9,3.55,2.74,4.19,6.44,2.62,39.56,24.46,24.67,87.1,13.5,78.2,49.21
Missouri,29.75,46.94,54.57,49.58,55.58,35.08,38.16,47.5,48.43,41.5,50.71,49.87,49.74,36,44.9,62.2,48.22
Montana,23.19,37.57,61.13,42.5,58.37,36.07,27.59,40.17,44.93,43.15,59.39,57.13,51.1,41.1,50.6,57.9,53.65
Nebraska,21.73,41.08,64.68,47.09,63.19,35.29,40.74,57.19,58.58,54.15,69.15,65.51,62.07,47.4,59.8,70.5,60.31
Nevada,15.89,36.4,56.92,41.76,56.54,30.59,27.19,39.92,45.38,47.26,61.45,57.97,48.84,41.4,47.5,63.7,52.27
New Hampshire,37.43,49.06,59.84,59.83,58.66,50.42,47.98,46.78,47.87,52.41,60.92,66.11,53.42,36.1,52.1,64,55.68
New Jersey,20.54,54.35,67.6,62.16,59.77,47.59,39.57,47.93,48.95,50.33,56.81,64.68,49.16,34.4,46.1,61.6,50.99
New Mexico,35.91,46.53,54.68,48.52,59.01,35.76,36.5,43.28,46.44,42.93,55.39,57.81,49.41,41,51.8,61,51.04
New York,28.68,51.53,64.56,55.76,49.79,41.33,38.97,48.04,47.3,45.99,55.45,61.2,47.27,31.4,44.3,58.5,47.84
North Carolina,11.94,41.73,43.22,39.72,54.87,29.28,26.6,25.97,33.29,32.68,46.09,49.34,47.89,43.8,39.5,69.5,44.43
North Dakota,26.67,49.2,77.79,47.68,54.8,28,26.58,55.06,53.84,52.17,70.97,61.72,55.42,42,55.9,62.1,52.93
Ohio,26.82,44.18,58.47,58.33,64.89,47.04,37.43,47.8,50.18,49.24,56.76,61.11,53.28,37.1,45.2,59.6,49.9
Oklahoma,35.69,33.21,50.11,42.82,63.72,26.7,32.69,42.23,44.2,37.25,54.59,55.13,59.02,44.3,47.7,73.7,50.52
Oregon,25.3,48.47,60.2,51.01,64.18,36.89,29.64,45.63,46.94,49.78,60.54,55.25,52.62,36.3,49.8,52.4,50.01
Pennsylvania,22.4,54.25,65.8,65.35,65.24,50.84,40.85,46.34,48.36,50.93,52.74,56.49,48.74,34.5,44,59.1,48.57
Rhode Island,35.57,51.08,63.97,59.63,49.55,43.31,40.18,43.24,41.26,41.44,50.89,58.31,36.37,19.1,31.8,53,44.24
South Carolina,1.06,2.43,3.9,2.21,8.54,1.89,1.43,4.37,4.46,3.78,49.28,25.18,48.76,58.9,38.1,70.8,43.54
Tennessee,23.84,42.7,51.28,43.59,53.76,32.46,30.81,32.36,39.22,36.87,49.98,49.21,52.92,44.5,37.8,67.7,43.21
Texas,8.77,17.45,23.54,19.78,51.77,11.35,12.31,19.13,16.64,24.6,53.13,55.27,48.52,36.7,39.9,66.2,48.01
Utah,37.46,37.82,55.93,49.26,53.58,41.05,29.79,37.59,39.42,45.52,58.93,64.56,54.81,45.3,56.5,67.6,64.94
Vermont,37.13,62.44,75.87,78.22,66.88,57.66,56.44,54.79,57.06,61.55,71.46,72.18,58.65,33.7,52.8,62.7,56.01
Virginia,17,32.05,37.85,32.79,53.91,30.09,29.39,31.55,37.39,41.04,56.32,55.37,52.44,46.5,41.4,67.8,50.73
Washington,21.82,43.89,55.96,52.24,67.06,33.94,29.88,40.58,42.24,42.68,54.33,53.91,50.68,38,45.1,56.9,51.37
West Virginia,21.1,49.38,55.3,49.45,58.43,44.47,39.2,42.9,45.11,42.24,48.08,54.08,47.27,32.1,40.8,63.6,41.95
Wisconsin,32.68,49.25,70.65,37.06,53.52,31.19,30.26,48.32,50.37,46.28,60.95,61.58,51.77,37.9,47.9,53.4,49.16
Wyoming,34.42,41.86,62.38,52.39,63.68,40.82,37.47,46.89,51.23,47.27,62.71,60.04,55.05,43.4,55.8,69,59.85
